Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
Tottenham Court Road,5,Central & Northern,51.516210657936185,-0.1311104379402324,-1.8257440638465636,-1.1794181768286192,0.045068327475116805,1.4945011510252757,1.6030596983887633,0.5499152953267886,0.11537145388805901,0.1684944249817503,0.10020266558620043,-0.07847673487864129,-0.032268084865924695,0.2685310105269453,1.0430382415941513,1.2519014554366326,0.05099553335408812,-0.9225406119407752,-1.2566231117061135,-1.3960084735171296
Holborn,5,Central,51.51723554139566,-0.11984050660293674,-1.415971729168285,-0.8011427818226123,0.17265504111383007,1.8465341654771659,2.348741922140985,1.0153088001173223,0.43293532114516947,0.23929223625929905,0.14685048374269496,-0.0046950511008783564,-0.10281746835993788,-0.15094107972679083,0.07296067610649824,0.10393310139282047,-0.5634310217874672,-1.0176784234480227,-1.149261910183225,-1.1732722818985677
Chancery Lane,5,Central,51.518493835819875,-0.11196202676241712,-0.956395199921684,-0.5435765412703798,0.4326681562081099,2.2214971119757227,2.657563251782937,0.7877887222694162,0.01076410689176088,-0.04160014712821476,-0.039061608047375594,-0.22472925697508878,-0.3220907528920368,-0.31521529873494764,-0.17992235318257685,-0.27147866425910283,-0.6459824614451136,-0.8219784904431328,-0.8656180125023698,-0.8826325623259259
St. Pauls,5,Central,51.514835138739876,-0.09757100011698537,-1.0854589374829322,-0.2623576792265877,0.9300316431188312,2.5378693198003295,2.134800715301899,0.5803825911679035,0.103553340820198,0.013021022253914471,-0.10031835504537194,-0.17717511556982452,-0.23326913533191354,-0.2917198208921983,-0.2627267012265603,-0.35406951456218694,-0.7006100985577262,-0.9026636420800187,-0.9638599465172326,-0.9654296859705214
Bank,1,Central & Northern,51.51334691914183,-0.08900012349437465,-0.9090130362743836,-0.3434106994731625,0.9645000066188685,2.944345144634595,1.9265748148082813,0.24957140507131928,-0.14205053957225297,-0.174020661322501,-0.2792404821391641,-0.36613521201489607,-0.36071782514408596,-0.3001901989119572,-0.14172942633285468,-0.16831597414939667,-0.5419598776909393,-0.737464453500466,-0.7994087083885678,-0.8213342762184352
Liverpool Street,1,Central,51.51759813225402,-0.08224962188885442,-1.5984046279248016,-0.4877195075612915,0.9881714870736112,2.2921484752453156,1.5149734059142752,-0.05401972214205996,-0.46619345968434633,-0.464014420982307,-0.47086976652817036,-0.4447696143719096,-0.16794760639531417,0.3794683098783002,1.1450230321909924,0.8636356222675644,-0.291146569110235,-0.8197813878865069,-0.9498044244324328,-0.9687492255506815
Bethnal Green,3,Central,51.527191653122124,-0.05539211145016204,-2.063076962238559,-1.0267194304977296,0.09439364198501994,0.6436061638249869,-0.04820135127222416,-0.6242206273565962,-0.8333420081603815,-0.7412764311453476,-0.5703208707758451,-0.3810783047893311,0.035103271656723306,0.779058603161079,1.8000311897360368,2.09618748854375,0.9465150853801032,0.07239380338884843,-0.10641006177959247,-0.07264319966093535
Mile End,4,Central,51.525310919564504,-0.0326660842711517,-2.2716599575253578,-1.7499970575698411,-0.9195686162225302,0.2921825486679336,0.20119280607068676,-0.003257083798191651,0.06155408238373574,-0.030220451085696737,0.10295773130488471,0.12166615665894497,0.37823316319231026,1.0013861217901767,1.767945030009349,1.7233735575481384,0.38741546472059435,-0.3558139989874965,-0.41338201009393716,-0.29400748706370067
Stratford,4,Central & Jubilee,51.54169257587399,-0.003751641027190752,-1.7997946264492832,-0.9947584553690332,-0.03456643769908987,0.5437209778573168,0.04084098589068966,-0.3674054836374176,-0.2861832877899469,-0.09167320096878367,0.013701083581709161,0.054221215231728806,0.4086609915815742,1.2070600273486112,2.2260888878576948,1.7598582079302822,0.06091237453647946,-0.7177359735230516,-0.9747529325307847,-1.048194353848698
Leyton,2,Central,51.55813226231266,-0.006465331580603041,-1.2674140215724787,-0.8650750387051251,-0.2007202844400421,-0.29885829476265874,-0.7332266564910305,-0.8519185355054922,-0.7933446732178683,-0.6521634115855768,-0.4847605345533902,-0.29780854188393985,0.14557245079017328,1.082236280104939,2.2714941842400993,2.212594042044515,0.7804427211156395,0.08887030265712302,-0.06583508392565474,-0.07008490430923243
Leytonstone,0,Central & Central,51.56852230672617,0.009140451957061277,-1.3763654455843615,-1.0208906268354312,-0.3328864902508698,0.2640180274717784,-0.5186488206352386,-0.8281652214938173,-0.797345612744504,-0.679121955003906,-0.5018674142139418,-0.29099986177858367,0.1289720597634499,0.9722561897229187,2.211707727145429,2.1873138115855766,0.885580997336309,0.06536370282788664,-0.1810931103987035,-0.18782795691399445
Snaresbrook,1,Central,51.58089131157066,0.021463927810755047,-1.5498263864577264,-1.3314923356305974,-0.3684352025894855,0.8603608437394268,-0.10713039934520412,-0.49389678769116213,-0.7546625282620626,-0.723208372708501,-0.5518812041710753,-0.3433157241575232,0.05573474278109061,0.8682497045862382,1.98145095940404,2.087874077340163,0.9807829553519467,-0.020884359793241054,-0.30533595352060905,-0.28438402887571596
South Woodford,1,Central,51.59155266475493,0.02794307837440943,-1.2929515259774333,-1.0885099848586959,-0.4711438695594832,-0.20979250297800678,-0.6633231009297442,-0.8208778570241639,-0.7284159900642939,-0.5813843724975605,-0.4222392611029109,-0.16983272255525772,0.2506156823150236,0.9879175803231133,2.0561141528761455,2.291940676728212,1.053899496444558,0.11012463937779528,-0.14947186858062736,-0.15266917193666787
Woodford,1,Central,51.607201902790344,0.034056202416625964,-1.237120961157902,-1.0704389677254502,-0.578867251594753,-0.24309193291948175,-0.6978835372895374,-0.8664587715710637,-0.7654533823603394,-0.5635457023152757,-0.3701081574955234,-0.1976168818220082,0.22361715429760262,0.992605947047469,2.126405617545951,2.196844073184055,1.0927493925563343,0.13767010637774146,-0.09504455365891597,-0.08426219109890361
