Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
Redbridge,0,Central,51.576366994360605,0.045394044087077395,-0.4436066153213301,1.24028801240533,2.0787038153116786,2.2475669914728074,0.9992213914197674,0.2005059474765708,-0.10772631368196868,-0.3026733583032625,-0.42202093622546283,-0.4648849023441878,-0.4054758263728211,-0.2412823584837704,-0.06438874292020529,-0.3624876013398665,-0.7494993877919941,-0.9664052443845921,-1.07976059268794,-1.15607427822875
Gants Hill,0,Central,51.57655306294169,0.06608409806317944,-0.39951234963870613,1.2431145846519687,2.1095025440058452,2.343767072540454,0.916433600852927,0.10095774310158662,-0.19413102517773204,-0.25875452578294234,-0.3427959023903759,-0.42409721767577535,-0.3447537948638121,-0.2619061853841634,-0.24773809349450723,-0.46274712628022246,-0.7454952982528781,-0.9167217615480056,-1.014044080763176,-1.101078183900486
Newbury Park,0,Central,51.57563850646377,0.09030315819789672,-0.020087643116129532,1.7903070294985541,2.2809603112062753,1.949627901916712,0.5900547414146086,-0.04726500899542963,-0.2768246156071261,-0.3143059601818321,-0.39545777413659616,-0.4883886398726397,-0.4211888739323868,-0.31556149938203565,-0.2464668460406298,-0.46697237423843174,-0.7505382330970405,-0.8855460466046738,-0.961993632809223,-1.0203528360219782
Barkingside,0,Central,51.58585076146283,0.08847664010592626,0.16649492755970083,1.9506794571017132,2.2738589708578187,1.879112770934175,0.38374363401435857,-0.2056376490086691,-0.3670677594422984,-0.4415995514070146,-0.4587622937749079,-0.42490272752475633,-0.1448947005281909,-0.26034888936842526,-0.3388190972906168,-0.5232390600565667,-0.7252227846256016,-0.8669748156289374,-0.9152146266159512,-0.9812058051958278
Fairlop,2,Central,51.59610969417489,0.0905932799159299,0.07546659081634906,2.0272388628313514,2.317209470953005,1.807073867769288,0.35601416432649724,-0.2460632641793172,-0.41835031707179954,-0.4715580743756181,-0.46963951061489434,-0.504858140710799,-0.28263093034086173,-0.18173927283502966,-0.18136054607548022,-0.4909473560786407,-0.7391268297429597,-0.7927334882370934,-0.8826733320324578,-0.9213218944015373
Hainault,1,Central,51.602845483752255,0.09410855083015249,0.3754450952709087,2.2677388657183264,2.220536176438454,1.6020595902100723,0.3341124476914219,-0.18406179718887714,-0.35897628894407096,-0.4228951264202381,-0.475434483562632,-0.5225360557465304,-0.4754877175417606,-0.3533240815447989,-0.2983806534459841,-0.5133036713593433,-0.7187481368603229,-0.7932629288954712,-0.8281038854430215,-0.8553773483761302
Grange Hill,6,Central,51.61348057933538,0.09227253016869208,-0.45252945428200264,0.8186497519823094,3.278023136163981,1.6593478770307564,0.08430806346766788,-0.1433250259910794,-0.3164745597664312,-0.32487606912656436,-0.37868859293807733,-0.3870184549674915,-0.3270529320918711,-0.15729977505439854,-0.35068638578634737,-0.44866787509907097,-0.545646479305844,-0.6369629311611206,-0.6750797667708125,-0.6960205263036033
Chigwell,6,Central,51.61785799974183,0.07617921535230276,-0.5652764912658076,0.5116515043894628,3.3859336300958423,1.2085378785815397,-0.051591723604777436,-0.24568692671138806,-0.39118801798546443,-0.45775670842195093,-0.3985044846180129,-0.21940181073358292,0.5262428698179624,0.30780255331034123,-0.1819648652529831,-0.4607987380403326,-0.5717818800302821,-0.7600630145079135,-0.7983499551226164,-0.837803819900032
Roding Valley,6,Central,51.61695652081232,0.04402620712663845,-0.4440296210666415,0.9367494716947776,3.250676368480026,1.539020591796517,-0.13728385740054724,-0.18103681395194465,-0.29913952855680476,-0.31130942334374584,-0.3952723673823049,-0.3286765160717262,0.04167661790001318,0.0045744723459324775,-0.2807267334862789,-0.4760048552179102,-0.5660450273419471,-0.6883027340639903,-0.8190289553006199,-0.8458410890328093
Epping,5,Central,51.69368635497796,0.11382555351421217,0.0029759459065955966,1.8919896826614135,2.7274091523020707,1.3087194710181032,0.07078489590189346,-0.19334383435391825,-0.29945409316804855,-0.4121312924093815,-0.47533036290000136,-0.4789308920320043,-0.2813013623134184,0.014730742800561067,0.09058639795531692,-0.35529641140330753,-0.7442150761524584,-0.907908395417068,-0.967659655792982,-0.9916249126033684
